id,otel_ad,fiyat,imageurl,score,bolge,hava_alanina_uzakligi,denize_uzakligi,plaj,iskele,a_la_carte_restoran,asansor,acik_restoran,kapali_restoran,acik_havuz,kapali_havuz,bedensel_engelli_odasi,bar,su_kaydiragi,balo_salonu,kuafor,otopark,market,sauna,doktor,beach_voley,fitness,canli_eglence,wireless_internet,animasyon,sorf,parasut,arac_kiralama,kano,spa,masaj,masa_tenisi,cocuk_havuzu,cocuk_parki
334,Nex Royal Beach Hotel,9065.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/13004/1050X700/tsr13004638198438166375646.jpg,5.9,Antalya Kemer Beldibi ,35,,-1.0,0,0,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
9,Aydınbey Gold Dreams Hotel,186300.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/00176/1050X700/tsr00176637751728916387896.jpg,7.8,Antalya Alanya Türkler ,110,,2.0,0,1,1,1,1,2,1,1,5,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1
739,Otel Safran Palas,9693.8,https://cdn.tatilsepeti.com/Files/TesisResim/10515/tsr10515637101993532831361.jpg,,İzmir Foça ,0,,-1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Side Royal Style,22199.8,https://cdn.tatilsepeti.com/Files/Images/Tesis/11386/1050X700/tsr11386637814067900721189.jpg,9.2,Antalya Side Evrenseki ,45,200.0,2.0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0
207,Mivara Luxury Resort Spa,28885.6,https://cdn.tatilsepeti.com/Files/Images/Tesis/04968/1050X700/tsr04968638453438123969513.jpg,8.4,Bodrum Gündoğan ,50,0.0,2.0,1,2,1,1,1,1,1,1,3,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1
738,Otel Gümüşlük,11848.9,https://cdn.tatilsepeti.com/Files/TesisResim/02933/tsr02933635488092273782500.jpg,8.3,Bodrum Gümüşlük ,60,50.0,,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
430,Kleopatra İkiz Otel,5283.5,https://cdn.tatilsepeti.com/Files/Images/Tesis/01618/1050X700/tsr01618637278945822814872.jpg,7.3,Antalya Alanya Kleopatra ,120,50.0,-1.0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
336,Old Town Point Hotel,8150.8,https://cdn.tatilsepeti.com/Files/Images/Tesis/11511/1050X700/tsr11511638029846339871264.jpg,,Antalya Antalya Merkez ,13,500.0,-1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
335,Ni Marin Hotel,14599.2,https://cdn.tatilsepeti.com/Files/Images/Tesis/13815/1050X700/tsr13815638451482109226406.jpg,,Bodrum Güllük ,15,0.0,,1,1,0,0,1,2,0,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
337,Olive Tree Hotel,14400.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/12612/1050X700/tsr12612637962833544317405.jpg,,Bodrum Gündoğan ,50,50.0,,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
740,Otto Palace Boutique Hotel,8277.6,https://cdn.tatilsepeti.com/Files/Images/Tesis/12260/1050X700/tsr12260637837989349613095.jpg,,Antalya Adrasan ,0,,-1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
741,Park Ulusoy Hotel,8184.9,https://cdn.tatilsepeti.com/Files/Images/Tesis/13032/1050X700/tsr13032638348639677036951.jpg,,İzmir Bornova ,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Museum Resort Spa,5700.0,https://cdn.tatilsepeti.com/Files/Images/Tesis/12031/1050X700/tsr12031638048998498361177.jpg,7.3,Bodrum Bodrum Merkez Azmakbaşı ,35,750.0,-1.0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
